Track Name,Artists,Predicted_Preferences,mbti
HBD,HWI YOUNG,0.09314058099504527,enfj
A WINTER BLANKET,87dance,0.09313444263708535,enfj
Love Forever - English Version,"Suara Kayu, Arash Buana",0.09304788867177777,enfj
You're like saponin,YUDABINBAND,0.09282977941032848,enfj
Buried,Heo Hoy Kyung,0.09269488444285048,enfj
Our Night is more beautiful than your Day,NewJeans,0.09210518175092991,enfj
ODD-VENTURE,MCND,0.09196437577421575,enfj
왜 돌아보오 (2023 Ver.),Lee Chanwon,0.09149598590656147,enfj
Beautiful Winter,Hwang Chi Yeul,0.09091845200364937,enfj
Ex-TRA,SAAY,0.09036155118074622,enfj
Love Distance,"Ardhito Pramono, KYNYA",0.09020912028590727,enfj
Birthday,CLAUDIA,0.09017701105260742,enfj
Winter Song,Sunnie,0.09013615392669568,enfj
Falling in love,"WOO JIN YOUNG, Kim hyun soo",0.09009949651109272,enfj
BEEP BEEP,Jessica,0.0900842793453482,enfj
Unwind,Shi Shi,0.08970707026184503,enfj
Whisper,SBGB,0.08888272474395617,enfj
MARY,Jordan Mackampa,0.08841256557082296,enfj
"Whenever, Wherever",Roy Kim,0.08792630436922302,enfj
5PACE (feat. VINXEN),"Yescoba, VINXEN",0.0875482881564283,enfj
Like A Movie,Piano Man,0.08739367907469872,enfj
Fire,"Giryeon, Sleepy",0.08722968711594793,enfj
Playground,LUN8wave,0.08687044748237996,enfj
Once Again,박다혜,0.0867346451495248,enfj
Your Love (feat. Sik-K),"Moon Sujin, Sik-K",0.08634750735859822,enfj
Bitter Smile,OVAN,0.08628622990226573,enfj
Happiness (feat. Asake & Gunna),"Sarz, Asake, Gunna",0.08615585963631942,enfj
love for u (❤️4U),VIDI,0.08603814079712725,enfj
Daymoon [CLEF X DKZ],DKZ,0.08601874955035911,enfj
이제서야,Lim Dohyuk,0.08566350178525932,enfj
I'll pick you up,"HYUN SEO, Cha Woo Joo",0.08553659758893857,enfj
Lover/Friend,"KAYTRANADA, Rochelle Jordan",0.08547139125201786,enfj
MERRY GO ROUND,Clinton Kane,0.08539239039334157,enfj
Our Christmas,Tasty Shop,0.0852812065862743,enfj
One ring,Solji,0.0850940481485086,enfj
With You,WINTER,0.08499391671520651,enfj
Paradise,Party Favor,0.0848736450787434,enfj
두 글자만 지워지면 (If two letters are erased),Ha Yea Song,0.0846285703911194,enfj
Nothing Else Feels The Same,LOONY,0.08460765244990633,enfj
dreams,ADORA,0.08460335729536357,enfj
Always In My Heart,"Hyun.O, SoYeon",0.08443950737404497,enfj
Everything of Us,XIA,0.0844132361898294,enfj
her,Junggigo,0.08433397601951534,enfj
WINTER WITHOUT YOU,XG,0.08418556862132713,enfj
The Little Drummer Boy,"Villagers, Lisa Hannigan",0.0839132119417353,enfj
Beautiful Day,GEMINI,0.0839052790762618,enfj
Spirit,The Killers,0.08389956115160438,enfj
Chains (feat. Daya),"Devault, Daya",0.0837827713363768,enfj
Get A Guitar - Chromeo Remix,"RIIZE, Chromeo",0.0836441897643039,enfj
Wave of Dream,Baek Ji Young,0.08289107271897356,enfj
Airplane Tickets,"Pharrell Williams, Swae Lee, Rauw Alejandro",0.08281996701097119,enfj
