,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
991,RENJUN x ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
992,RENJUN x ISTJ,Happier,"KANGTA, YESUNG, SUHO, TAEIL, RENJUN",0.648,0.423,0,-8.089,1,0.0543,0.293,1.06e-05,0.138,0.423,86.945,162533,4
993,RENJUN x ISTJ,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
994,RENJUN x ISTJ,Happier,"KANGTA, YESUNG, SUHO, TAEIL, RENJUN",0.648,0.423,0,-8.089,1,0.0543,0.293,1.06e-05,0.138,0.423,86.945,162533,4
995,RENJUN x ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
996,RENJUN x ISTJ,SOS,NCT DREAM,0.772,0.817,1,-3.483,1,0.204,0.052,0.0,0.435,0.44,110.058,179827,4
997,RENJUN x ISTJ,Goodbye,"SUNNY, JUNGWOO, RENJUN",0.486,0.643,4,-4.667,1,0.0438,0.584,0.0,0.107,0.493,82.564,206960,4
998,RENJUN x ISTJ,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
999,RENJUN x ISTJ,Poison,NCT DREAM,0.648,0.61,8,-4.032,0,0.0369,0.0648,0.0,0.282,0.577,134.965,212680,4
1000,RENJUN x ISTJ,Happier,"KANGTA, YESUNG, SUHO, TAEIL, RENJUN",0.648,0.423,0,-8.089,1,0.0543,0.293,1.06e-05,0.138,0.423,86.945,162533,4
1001,RENJUN x ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1002,RENJUN x ISTJ,Starry Night,NCT DREAM,0.674,0.768,0,-3.973,0,0.0429,0.458,0.0,0.183,0.729,153.009,190120,4
1003,RENJUN x ISTJ,Happier,"KANGTA, YESUNG, SUHO, TAEIL, RENJUN",0.648,0.423,0,-8.089,1,0.0543,0.293,1.06e-05,0.138,0.423,86.945,162533,4
1004,RENJUN x ISTJ,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
1005,RENJUN x ISTJ,Happier,"KANGTA, YESUNG, SUHO, TAEIL, RENJUN",0.648,0.423,0,-8.089,1,0.0543,0.293,1.06e-05,0.138,0.423,86.945,162533,4
1006,RENJUN x ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1007,RENJUN x ISTJ,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
1008,RENJUN x ISTJ,Goodbye,"SUNNY, JUNGWOO, RENJUN",0.486,0.643,4,-4.667,1,0.0438,0.584,0.0,0.107,0.493,82.564,206960,4
1009,RENJUN x ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1010,RENJUN x ISTJ,Happier,"KANGTA, YESUNG, SUHO, TAEIL, RENJUN",0.648,0.423,0,-8.089,1,0.0543,0.293,1.06e-05,0.138,0.423,86.945,162533,4
1011,RENJUN x ISTJ,Candy,NCT DREAM,0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,217067,4
1012,RENJUN x ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1013,RENJUN x ISTJ,Goodbye,"SUNNY, JUNGWOO, RENJUN",0.486,0.643,4,-4.667,1,0.0438,0.584,0.0,0.107,0.493,82.564,206960,4
1014,ISTJ YOGURT SHAKE,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
1015,ISTJ YOGURT SHAKE,Candy,NCT DREAM,0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,217067,4
1016,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1017,ISTJ YOGURT SHAKE,Like We Just Met,NCT DREAM,0.666,0.509,2,-5.619,1,0.0378,0.16,0.0,0.171,0.446,106.987,209627,4
1018,ISTJ YOGURT SHAKE,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
1019,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
