,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
196,enfj,Banking On Me,Gunna,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,200000,4
197,enfj,Oh My,Yung Fazo,0.784,0.635,1,-7.247,1,0.0855,0.00494,1.4e-06,0.113,0.354,139.982,145286,4
198,enfj,OKAY,Yung Fazo,0.728,0.74,5,-4.812,0,0.21,0.0426,0.0,0.464,0.864,143.005,102378,4
199,ENFJ energy🫶🏻 ,There She Goes,The La's,0.533,0.761,7,-10.632,1,0.0298,0.013,0.829,0.207,0.917,122.777,162187,4
200,ENFJ energy🫶🏻 ,O Children,Nick Cave & The Bad Seeds,0.484,0.554,4,-7.064,0,0.0324,0.513,0.00207,0.0533,0.235,121.619,411387,4
201,ENFJ energy🫶🏻 ,Material Girl,Madonna,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,240280,4
202,ENFJ energy🫶🏻 ,"Theme From New York, New York",Frank Sinatra,0.407,0.589,2,-5.32,1,0.03,0.547,0.0,0.281,0.559,109.009,204147,4
203,ENFJ energy🫶🏻 ,La vie en rose - Single Version,Louis Armstrong,0.507,0.0779,0,-12.099,1,0.0544,0.866,0.00275,0.108,0.326,70.808,204400,4
204,ENFJ energy🫶🏻 ,Girls Need Love,Summer Walker,0.645,0.418,6,-10.065,0,0.29,0.558,0.0003,0.562,0.123,96.963,140760,4
205,ENFJ energy🫶🏻 ,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4
206,ENFJ energy🫶🏻 ,Cartier,Bazzi,0.481,0.547,9,-5.894,1,0.349,0.243,0.0,0.521,0.457,91.019,172496,4
207,ENFJ energy🫶🏻 ,Fantasy,Bazzi,0.699,0.668,5,-4.272,0,0.0336,0.154,3.2e-06,0.362,0.314,144.105,148230,4
208,ENFJ energy🫶🏻 ,ROXANNE,Arizona Zervas,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5
209,ENFJ energy🫶🏻 ,Drag Me Down,One Direction,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,4
210,ENFJ energy🫶🏻 ,I.F.L.Y.,Bazzi,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.554,104.954,165714,4
211,ENFJ energy🫶🏻 ,"thank u, next",Ariana Grande,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,4
212,ENFJ energy🫶🏻 ,imagine,Ariana Grande,0.729,0.475,8,-4.985,1,0.0364,0.378,0.0,0.12,0.371,62.52,212267,3
213,ENFJ energy🫶🏻 ,Don't Stop The Music,Rihanna,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,267080,4
214,ENFJ energy🫶🏻 ,Kiss You,One Direction,0.63,0.934,4,-2.559,1,0.0589,0.0186,0.0,0.324,0.905,89.992,182960,4
215,ENFJ energy🫶🏻 ,One Thing,One Direction,0.713,0.718,2,-3.806,1,0.0278,0.00233,0.0,0.0838,0.656,126.999,197600,4
216,ENFJ energy🫶🏻 ,Midnight Memories,One Direction,0.432,0.868,6,-2.01,0,0.0882,0.00725,0.0,0.233,0.567,156.128,176320,4
217,ENFJ energy🫶🏻 ,Disturbia,Rihanna,0.707,0.813,11,-4.515,0,0.0571,0.0863,0.0,0.168,0.722,124.921,238627,4
218,ENFJ energy🫶🏻 ,Umbrella,"Rihanna, JAY-Z",0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,275987,4
219,ENFJ energy🫶🏻 ,Rude Boy,Rihanna,0.563,0.75,11,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.906,222920,4
220,ENFJ energy🫶🏻 ,Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133,4
221,ENFJ energy🫶🏻 ,boyfriend (with Social House),"Ariana Grande, Social House",0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097,186107,4
222,ENFJ energy🫶🏻 ,I Knew You Were Trouble.,Taylor Swift,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,219720,4
223,ENFJ energy🫶🏻 ,We Are Never Ever Getting Back Together,Taylor Swift,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,193147,4
